CASE,TOTAL,PASS,FAIL,SKIP
Hypervisor_CSR,129,111,8,10
Hypervisor_Interrupts,41,41,0,0
Hypervisor_Exceptions,129,113,12,4
Sha,28,28,0,0
Shcounterenw,22,22,0,0
Shgatpa,21,19,2,0
Shlcofideleg,14,10,4,0
Shtvala,50,44,4,2
Shvstvala,22,19,0,3
Shvsatpa,19,19,0,0
Sv39x4,55,55,0,0
Sv48x4,57,57,0,0
Sv57x4,57,57,0,0
Sv39x4_Sv39,161,159,2,0
Sv39x4_Sv48,164,162,2,0
Sv39x4_Sv57,167,165,2,0
Sv48x4_Sv39,164,162,2,0
Sv48x4_Sv48,168,166,2,0
Sv48x4_Sv57,172,170,2,0
Sv57x4_Sv39,167,165,2,0
Sv57x4_Sv48,172,170,2,0
Sv57x4_Sv57,177,175,2,0
Hypervisor_Smcntrpmf,7,6,0,1
Hypervisor_Smcsrind,11,10,1,0
Hypervisor_Smmpm,5,0,1,4
Hypervisor_Smnpm,6,0,0,6
Hypervisor_Smstateen,14,11,0,3
Hypervisor_Ssccptr,4,3,0,1
Hypervisor_Sscsrind,33,28,3,2
Hypervisor_Ssdbltrp,24,11,0,13
Hypervisor_Ssnpm,48,3,0,45
Hypervisor_Ssqosid,6,2,4,0
Hypervisor_Ssstateen,50,43,0,7
Hypervisor_Sstc,15,14,1,0
Hypervisor_Sstvala,8,8,0,0
Hypervisor_Svadu,7,7,0,0
Hypervisor_Svinval,15,13,2,0
Hypervisor_Svnapot,3,3,0,0
Hypervisor_Svpbmt,4,4,0,0
Hypervisor_Zicbom,40,37,1,2
Hypervisor_Zicbop,8,8,0,0
Hypervisor_Zicboz,15,14,0,1
Hypervisor_Zicfilp,44,37,6,1
Hypervisor_Zicfiss,75,65,9,1
Hypervisor_Zkr,18,18,0,0
